Date,DaysPassed,Confirmed
12/1/19,1,1
12/2/19,2,1
12/3/19,3,1
12/4/19,4,1
12/5/19,5,1
12/6/19,6,1
12/7/19,7,1
12/8/19,8,1
12/9/19,9,1
12/10/19,10,1
12/11/19,11,1
12/12/19,12,1
12/13/19,13,1
12/14/19,14,1
12/15/19,15,1
12/16/19,16,1
12/17/19,17,1
12/18/19,18,1
12/19/19,19,1
12/20/19,20,1
12/21/19,21,1
12/22/19,22,1
12/23/19,23,1
12/24/19,24,1
12/25/19,25,1
12/26/19,26,1
12/27/19,27,1
12/28/19,28,1
12/29/19,29,1
12/30/19,30,1
12/31/19,31,1
1/1/20,32,1
1/2/20,33,1
1/3/20,34,1
1/4/20,35,1
1/5/20,36,1
1/6/20,37,1
1/7/20,38,1
1/8/20,39,1
1/9/20,40,1
1/10/20,41,41
1/11/20,42,41
1/12/20,43,41
1/13/20,44,41
1/14/20,45,41
1/15/20,46,41
1/16/20,47,45
1/17/20,48,62
1/18/20,49,121
1/19/20,50,199
1/20/20,51,291
1/21/20,52,440
1/22/20,53,588
1/23/20,54,870
1/24/20,55,1325
1/25/20,56,1991
1/26/20,57,2773
1/27/20,58,4516
1/28/20,59,5970
1/29/20,60,6600
1/30/20,61,7300
1/31/20,62,8169
